Time, Projected Occupancy,  num_parked_ios, num_parked_android, num_parked
02/27 02:32 PM,38 %,6,0,6
02/27 02:34 PM,38 %,6,0,6
02/27 03:05 PM,44 %,7,0,7
02/27 03:34 PM,50 %,8,0,8
02/27 03:44 PM,44 %,7,0,7
02/27 04:17 PM,38 %,6,0,6
02/27 05:08 PM,31 %,5,0,5
02/27 06:54 PM,25 %,4,0,4
02/27 06:59 PM,13 %,2,0,2
02/28 07:10 AM,19 %,3,0,3
02/28 07:19 AM,25 %,4,0,4
02/28 07:20 AM,31 %,5,0,5
02/28 07:31 AM,38 %,6,0,6
02/28 08:07 AM,44 %,7,0,7
02/28 08:14 AM,38 %,6,0,6
02/28 08:29 AM,38 %,6,0,6
02/28 08:39 AM,44 %,7,0,7
