Time, Projected Occupancy,  num_parked_ios, num_parked_android, num_parked
02/03 08:02 AM,13 %,2,0,2
02/03 08:35 AM,20 %,3,0,3
02/03 08:46 AM,27 %,4,0,4
02/03 08:51 AM,33 %,5,0,5
02/03 09:00 AM,40 %,6,0,6
02/03 09:08 AM,40 %,6,0,6
02/03 09:10 AM,47 %,7,0,7
02/03 09:15 AM,33 %,5,0,5
02/03 09:28 AM,27 %,4,0,4
02/03 09:44 AM,33 %,5,0,5
02/03 09:48 AM,40 %,6,0,6
02/03 09:50 AM,47 %,7,0,7
02/03 10:04 AM,40 %,6,0,6
02/03 10:19 AM,47 %,7,0,7
02/03 10:20 AM,53 %,8,0,8
02/03 10:25 AM,60 %,9,0,9
02/03 10:52 AM,47 %,7,0,7
02/03 11:20 AM,33 %,5,0,5
02/03 12:26 PM,27 %,4,0,4
02/03 01:11 PM,33 %,5,0,5
02/03 01:12 PM,27 %,4,0,4
02/03 01:17 PM,33 %,5,0,5
02/03 01:19 PM,40 %,6,0,6
02/03 01:32 PM,47 %,7,0,7
02/03 02:35 PM,33 %,5,0,5
02/03 02:46 PM,27 %,4,0,4
02/03 03:32 PM,20 %,3,0,3
02/03 03:48 PM,13 %,2,0,2
02/03 05:03 PM,7 %,1,0,1
02/03 05:56 PM,0 %,0,0,0
02/03 08:49 PM,7 %,1,0,1
02/03 10:44 PM,0 %,0,0,0
02/06 06:45 AM,7 %,1,0,1
02/06 07:08 AM,13 %,2,0,2
02/06 07:18 AM,20 %,3,0,3
02/06 07:20 AM,13 %,2,0,2
02/06 07:25 AM,20 %,3,0,3
02/06 08:15 AM,27 %,4,0,4
02/06 08:22 AM,33 %,5,0,5
02/06 08:25 AM,40 %,6,0,6
02/06 08:26 AM,47 %,7,0,7
02/06 09:26 AM,33 %,5,0,5
02/06 10:03 AM,40 %,6,0,6
02/06 10:07 AM,40 %,6,0,6
02/06 10:25 AM,33 %,5,0,5
02/06 10:27 AM,40 %,6,0,6
02/06 10:37 AM,47 %,7,0,7
02/06 11:06 AM,47 %,7,0,7
02/06 11:37 AM,53 %,8,0,8
02/06 11:38 AM,47 %,7,0,7
02/06 11:47 AM,43 %,6,0,6
02/06 12:57 PM,36 %,5,0,5
02/06 01:24 PM,50 %,7,0,7
02/06 01:27 PM,43 %,6,0,6
02/06 01:29 PM,50 %,7,0,7
02/06 01:59 PM,57 %,8,0,8
02/06 02:28 PM,50 %,7,0,7
02/06 02:31 PM,43 %,6,0,6
02/06 02:33 PM,36 %,5,0,5
